ID	name_txt
531762	Norovirus sewage/GII/Toyama/Aug/2007/JP
155384	Blackburnia pukalaina
180016	Agastache cana
2559823	Allocareproctus ungak
1718143	Abrawayaomys chebezi
263259	Graffenrieda sessilifolia
2742747	Alpheus miersi
13689	Sphingomonas paucimobilis
1779175	Triplophysa kashmirensis
2020796	Lechea racemulosa
440556	unclassified Gastropoda
67468	Bryolawtonia vancouveriensis
189367	Cainia graminis
298718	Hymenophyllum cuneatum
198428	Begonia samhaensis
268451	Mimesthes maculicollis
1654680	Almeidea lilacina
1737910	Sarcocystis oreamni
2596997	Graphocaecilius interpretatus
2617877	unclassified Laurus
56473	Macrocybe titans
138044	Vachellia seyal
39884	Silene involucrata
1754111	Artemisiopsis villosa
2647297	unclassified Betulodes
78883	Ostreopsis lenticularis
1659945	Incestophantes lamprus
2645635	unclassified Calaphidius
481174	Xanthosia tridentata
246299	Montipora cactus
369533	Arachnodes dichrous
645162	Lotus anfractuosus
1969932	Chlorotabanus flagellatus
2639470	unclassified Teleorhinus
257043	Ctenolepisma villosa
453916	Ochrosia silvatica
1789812	Norovirus GII/Hu/TR/2012/GII.4/Erzurum390
283732	Melampsora coleosporioides
2575532	Primulina curvituba
2028625	Italochrysa impar
1638658	Pseudolachnella campylospora
2638604	unclassified Minasia
90766	Sminthopsis psammophila
96920	Villosa vanuxemensis
2634312	unclassified Anticrates
212598	Omalus aeneus
35935	Parthenium argentatum
109989	Ptychadena sp.
2766975	hepatovirus G2
654632	Potentilla fragiformis
97219	Peromyscus stephani
154626	Flabellina affinis
1582455	Chuquiraga acanthophylla
428521	Kurzia temnomoides
286963	Ranunculus peduncularis
2645792	unclassified Metopia
1961167	Campethera notata
2634395	unclassified Ascandra
377467	Bunium afghanicum
1637479	Ligophorus funnelus
2605039	Asarum majale
72408	Anopheles sacharovi
358574	uncultured microorganism
1526721	Bembidion engelhardti
2685162	unclassified Xanthorhoe
407333	bacterium 8-gw1-3
2640347	unclassified Glossoscolex
283352	Alternaria argyranthemi
2677794	unclassified Yunzhangia
508947	Pascula ochrostoma
2636228	unclassified Athetis
1633826	Boletus discolor
578547	Meiostemon humbertii
2042291	Uredo toetoe
403110	Melodinus cochinchinensis
402565	Guatteria zamorae
1652583	Brachystelma kituloense
183068	Philactis zinnioides
2728611	Rhiginia conspersa
377490	Bunium mauritanicum
2682855	Drasteria kusnezovi
110366	Simocybe amara
537456	Sigara lateralis
1610601	Allotinus nicholsi
42312	Halosphaeriopsis mediosetigera
586609	Chondrina megacheilos
1984826	Aleurodiscus pinicola
305033	Norovirus Hu/NR2342/1997/US
472139	Paraphronima gracilis
487974	Norovirus Hu/GII.4/Nijmegen/2007/NL
2019448	Cantharellus hydnoides
1557489	Glyphipterix acinacella
378894	Siphocodon debilis
2041275	Utricularia tenuissima
473924	bacterium EAB-2EM66.05
2026753	Legionellaceae bacterium
119564	Colomys goslingi
321076	Eutriorchis astur
1960771	Haslea howeana
2621567	unclassified Metaemene
237650	Zameioscirpus muticus
467948	Dentipellis leptodon
1799630	Scutellaria montana
77296	Pictetia obcordata
59722	Sceloporus stejnegeri
311108	Kallimoides rumia
2036759	Magnolia patungensis
1555993	Eublemma roseana
472909	Polytmus guainumbi
282299	Bougainvillia bougainvillei
1615819	Necremnus leucarthros
176115	Microgale talazaci
2604979	Dorstenia bowmaniana
351644	Genea cazaresii
190783	Eretmobrycon bayano
535967	Nicipe gracillima
106922	Deutonura conjuncta
2627638	unclassified Rhabdophloeus
113273	Brachytheciastrum velutinum
135682	Xylocopa acutipennis
145825	Klasea khuzistanica
129425	Delias toxopei
141468	Caralluma crenulata
1964433	Macrotermes choui
2045208	Massilia violaceinigra
45517	Metschnikowia gruessii
2638490	unclassified Erpobdella
670522	Lepidotrigla alata
632869	Sapovirus Hu/S08173/2007/DNK
2632861	unclassified Wesmaelia
1543433	Fluviopupa nagodro
66324	Dasycerus angulicollis
166675	Coltricia montagnei
230797	Lepiota pseudohelveola
630726	Euclichthys polynemus
169786	Eckloniopsis radicosa
234815	Kavinia himantia
1609982	Liotrichus nishidai
251392	Amblyomma pecarium
96802	Armadillidium album
590341	Trichocentrum bicallosum
2629988	unclassified Coccopigya
1763682	Pseudomyrmex lisus
511339	Potamon algeriense
225389	Aplodinotus grunniens
1779211	Schnella hymenaeifolia
2040555	Camarosporidiella arezzoensis
317242	Elacatinus puncticulatus
58075	Melonycteris fardoulisi
65082	Choanomphalus schrencki
307773	Sporisorium monakai
1648813	Norovirus Hu/GII.4/Miyagi/P11-20/Jan2010/JPN
244486	Phacoides pectinatus
1986531	Scutellaria regeliana
647460	Norovirus sewage/GII.4/Toyama/SW0704-2/2007/JP
99610	Plagiorchis elegans
